voxel,x,y,z,voxel_idx,n_nonmissing,p_zero,n_outlier_removed,mad,var_I,error,mean_I,converged
7367920,112,125,129,754,20,0.0,0,0.9633332,0.4516963029572742,0.1393830400380035,-0.10506547961302475,1.0
7367921,113,125,129,755,20,0.0,0,0.5741382,0.37037424167308375,0.030215036517181233,-0.09683030471381036,1.0
7367922,114,125,129,756,20,0.0,0,0.8457765,0.4097092465306808,0.09250618192092827,-0.06422365081077461,1.0
7367923,115,125,129,757,20,0.0,0,0.9202535,0.4232815102239295,0.07768059363405429,-0.029232157779087206,1.0
7367924,116,125,129,758,20,0.0,1,0.7375511,0.32198710264323077,0.204435694751409,0.1297220084276904,1.0
7367925,117,125,129,759,20,0.0,0,0.8900934,0.16643349138926863,0.6768281448264981,0.13703276216919205,1.0
7368139,107,126,129,760,20,0.0,2,0.563045,0.4387192942765545,0.002830489146111724,0.6685301399488127,1.0
7368142,110,126,129,763,20,0.0,3,0.5427655,0.2630614035903508,0.042552698137642675,0.10635618193306091,1.0
7368143,111,126,129,764,20,0.0,0,1.0172513,0.8581724947065967,0.045696698487297176,0.07106282562053567,1.0
7368144,112,126,129,765,20,0.0,0,1.3432336,0.7597456308919196,0.08580141660079092,-0.07152240387661811,1.0
7368145,113,126,129,766,20,0.0,1,0.6730587,0.4536529919193744,0.056591055926911646,-0.09562743681363664,1.0
7368146,114,126,129,767,20,0.0,0,1.3536086,0.5624221754990043,0.20183803799579325,-0.037662000142243336,1.0
7368147,115,126,129,768,20,0.0,0,1.1652056,0.5017254957170899,0.18279200605100737,0.05280811327205119,1.0
7368148,116,126,129,769,20,0.0,0,0.8603673,0.4380060339883139,0.27023272596257325,0.1444793326125249,1.0
7368149,117,126,129,770,20,0.0,0,1.3885177,0.47850406732954065,0.37767140931215104,0.12869004905262055,1.0
7368364,108,127,129,772,20,0.0,3,0.42716065,0.13501509835415532,0.012906885113441673,0.6600420433128762,1.0
7368365,109,127,129,773,20,0.0,3,0.39392254,0.035684236919040505,0.1295121337795184,0.5793074909973496,1.0
7368366,110,127,129,774,20,0.0,1,0.5349041,0.26547383142573905,0.09993214332773993,0.2401121324841572,1.0
